username,reported_following,reported_followers,processed_following,processed_followers
RoxanaDaneshjou,0,0,0,0
RichardSocher,0,0,0,0
divyanshu__16,282,6,282,0
christine99930,33,1,33,0
neev_parikh,839,237,839,5
artollen,1048,147,1048,2
RyanPanwar,0,0,0,0
derezanin,1200,234,1200,0
_harm0n,560,110,560,1
graceggee,368,41,368,0
kweinmeister,3699,1938,2000,49
Raj_Jayaram_,0,0,0,0
_jaybaxter_,1835,6029,1835,25
iconphas,968,447,968,7
Shakeelr,0,0,0,0
yasir__arafat,2350,106,2000,0
advaitmb,949,257,949,4
zou_henry43378,65,8,65,0
ratna_kandala,2915,249,2000,12
mustafakuseyri,6621,1868,2000,0
manishsainani,4472,1256,2000,7
LeeteauSUn9yeP,0,0,0,0
Jeande_d,0,0,0,0
theamberyang,1392,12007,1392,69
SrinivasanSS52,0,0,0,0
GeorgeKurdin,0,0,0,0
ManavSinghal157,0,0,0,0
PaulSweeney,0,0,0,0
jo_chemla,4743,1170,2000,4
AtlantaHin52105,0,0,0,0
Akash_madisetty,0,0,0,0
ErnstZermalo,0,0,0,0
ReadFuturist,0,0,0,0
Sathees89347227,0,0,0,0
matangover,1040,512,1040,7
bazingaflip001,22,0,22,0
giladturok,3028,889,2000,39
DipendraMisra,0,0,0,0
iamlemec,851,621,851,0
benfrantzdale,492,197,492,1
jeffreypaine,1581,73,1581,2
venturetwins,993,118324,993,191
rchtgpt,835,261,835,1
MLOperator,0,0,0,0
brendanh0gan,866,1899,866,47
shine_gupta17,439,90,439,1
robertarail,1490,6413,1490,183
DanielNisnevich,0,0,0,0
Liu_eroteme,0,0,0,0
RishiBommasani,0,0,0,0
gregd_nlp,833,7261,833,270
TowardsTom,0,0,0,0
DeanCarignan,0,0,0,0
Jacky_Xingzhi,0,0,0,0
c_davis90,1335,177,1335,9
Desert_flower20,0,0,0,0
_o_s_a_m_a,4357,3670,2000,10
bussinpotato,581,20,581,1
lak_luster,292,6861,292,36
HassanAhmedAI,0,0,0,0
marius_capps,1280,1500,1280,4
